b, 3.686, 0, 255, 255, 26, 26
s, 43.064, 0, 61, 61, 36, 36
b, 22.464, 0, 184, 184, 26, 26
n, 15.758, 11, 174, 163, 38, 28
n, 13.657, 0, 184, 184, 36, 36
n, 10.824, 20, 40, 20, 27, 29
b, 6.477, 0, 215, 215, 43, 43
n, 7.224, 10, 163, 153, 32, 28
b, 10.158, 0, 153, 153, 35, 35
b, 2.743, 0, 0, 0, 24, 24
b, 17.043, 0, 30, 30, 23, 23
n, 2.576, 0, 153, 153, 27, 27
s, 10.892, 0, 30, 30, 40, 40
s, 27.899, 0, 81, 81, 35, 35
s, 10.241, 0, 225, 225, 44, 44
b, 17.158, 0, 92, 92, 26, 26
s, 6.327, 0, 0, 0, 37, 37
n, 9.991, 0, 102, 102, 39, 39
n, 3.26, 10, 194, 184, 41, 28
n, 14.209, 0, 61, 61, 38, 38
b, 7.593, 0, 245, 245, 26, 26
n, 3.394, 0, 255, 255, 27, 27
s, 9.026, 0, 71, 71, 40, 40
n, 11.192, 0, 153, 153, 39, 39
s, 10.592, 0, 81, 81, 23, 23
s, 5.31, 0, 184, 184, 27, 27
s, 4.308, 0, 112, 112, 24, 24
b, 11.076, 0, 143, 143, 25, 25
b, 8.426, 0, 245, 245, 40, 40
s, 32.159, 0, 122, 122, 41, 41
