n, 7.119, 0, 10, 10, 40, 40
s, 10.558, 0, 235, 235, 29, 29
s, 6.03, 0, 235, 235, 34, 34
b, 10.219, 0, 255, 255, 30, 30
b, 19.311, 0, 30, 30, 43, 43
s, 7.855, 0, 61, 61, 23, 23
n, 7.648, 10, 194, 204, 30, 35
s, 24.53, 0, 204, 204, 32, 32
b, 5.027, 0, 255, 255, 25, 25
n, 20.674, 0, 174, 174, 38, 38
b, 19.953, 0, 143, 143, 30, 30
n, 26.912, 0, 61, 61, 30, 30
n, 10.045, 0, 133, 133, 25, 25
s, 16.653, 0, 112, 112, 20, 20
n, 16.985, 10, 194, 184, 23, 27
s, 18.102, 10, 184, 174, 28, 34
n, 8.321, 10, 153, 163, 41, 40
b, 8.732, 0, 204, 204, 41, 41
s, 10.704, 10, 235, 225, 40, 23
s, 6.706, 0, 51, 51, 31, 31
n, 6.193, 0, 255, 255, 33, 33
b, 21.483, 0, 225, 225, 22, 22
n, 27.764, 10, 143, 133, 20, 35
b, 15.951, 10, 51, 61, 28, 26
n, 11.479, 0, 81, 81, 23, 23
b, 8.707, 0, 225, 225, 26, 26
b, 10.985, 10, 102, 92, 27, 33
s, 14.764, 0, 153, 153, 43, 43
b, 25.545, 0, 81, 81, 21, 21
s, 19.119, 0, 71, 71, 33, 33
