s, 3.736, 21, 92, 71, 34, 23
n, 3.259, 0, 235, 235, 23, 23
s, 2.862, 0, 174, 174, 22, 22
n, 6.508, 0, 245, 245, 43, 43
n, 8.258, 0, 92, 92, 32, 32
n, 16.36, 0, 71, 71, 32, 32
n, 4.725, 0, 133, 133, 38, 38
b, 11.764, 0, 225, 225, 37, 37
n, 3.309, 0, 245, 245, 24, 24
n, 6.509, 0, 255, 255, 37, 37
n, 9.741, 11, 92, 81, 43, 26
s, 14.46, 0, 102, 102, 44, 44
b, 7.192, 0, 40, 40, 32, 32
b, 6.207, 0, 61, 61, 27, 27
s, 4.561, 0, 245, 245, 27, 27
n, 6.157, 0, 174, 174, 30, 30
b, 22.211, 0, 194, 194, 22, 22
b, 10.763, 0, 255, 255, 39, 39
b, 10.341, 10, 143, 153, 33, 44
b, 3.057, 0, 255, 255, 24, 24
n, 14.841, 0, 122, 122, 25, 25
b, 5.476, 0, 153, 153, 34, 34
b, 10.707, 0, 102, 102, 40, 40
s, 4.675, 0, 81, 81, 36, 36
s, 5.91, 0, 61, 61, 26, 26
s, 5.458, 0, 184, 184, 43, 43
s, 6.826, 0, 215, 215, 28, 28
s, 12.808, 0, 51, 51, 40, 40
b, 13.612, 0, 225, 225, 39, 39
s, 2.175, 0, 255, 255, 34, 34
