n, 9.197, 0, 112, 112, 29, 29
b, 7.368, 10, 61, 51, 31, 35
n, 7.062, 10, 112, 122, 24, 34
s, 12.025, 20, 71, 51, 29, 26
n, 6.76, 0, 225, 225, 26, 26
n, 11.073, 10, 194, 204, 26, 34
n, 7.431, 0, 194, 194, 30, 30
n, 8.102, 10, 71, 61, 34, 43
s, 7.916, 10, 112, 122, 40, 42
n, 8.402, 0, 174, 174, 35, 35
n, 8.968, 10, 204, 194, 42, 21
s, 9.959, 0, 51, 245, 34, 30
s, 31.53, 11, 174, 163, 36, 23
b, 46.841, 0, 102, 102, 35, 35
b, 29.041, 0, 143, 143, 43, 43
s, 21.451, 0, 204, 204, 34, 34
s, 10.965, 0, 10, 10, 22, 22
b, 8.165, 0, 10, 10, 35, 35
b, 20.437, 0, 20, 20, 26, 26
s, 32.038, 0, 20, 20, 32, 32
s, 29.066, 20, 153, 133, 36, 29
b, 30.591, 0, 194, 194, 40, 40
b, 52.145, 10, 112, 122, 27, 37
s, 40.726, 0, 71, 71, 42, 42
b, 6.004, 0, 235, 235, 31, 31
s, 10.702, 0, 20, 112, 35, 35
b, 26.54, 0, 153, 153, 42, 42
n, 5.334, 0, 153, 153, 38, 38
b, 13.284, 0, 163, 163, 35, 35
n, 12.104, 0, 225, 225, 28, 28
