b, 5.177, 0, 41, 41, 40, 40
s, 6.715, 0, 82, 82, 28, 28
b, 2.817, 0, 102, 102, 32, 32
b, 7.492, 0, 215, 215, 24, 24
s, 10.766, 0, 31, 31, 33, 33
b, 6.992, 0, 174, 174, 32, 32
b, 25.295, 0, 82, 82, 31, 31
n, 3.84, 11, 72, 61, 39, 41
b, 5.126, 0, 225, 225, 42, 42
s, 3.66, 0, 236, 236, 31, 31
b, 19.993, 0, 61, 61, 24, 24
s, 11.642, 0, 92, 92, 25, 25
s, 9.693, 0, 10, 10, 22, 22
s, 21.129, 0, 41, 41, 34, 34
s, 10.975, 0, 51, 51, 32, 32
b, 55.945, 0, 41, 41, 27, 27
s, 6.461, 0, 154, 154, 44, 44
n, 6.042, 0, 20, 20, 34, 34
n, 4.992, 0, 246, 246, 44, 44
b, 3.34, 0, 0, 0, 23, 23
n, 11.992, 0, 92, 92, 44, 44
n, 8.674, 10, 82, 92, 20, 27
n, 8.959, 0, 10, 10, 28, 28
s, 4.829, 0, 174, 174, 20, 20
b, 11.55, 0, 113, 113, 20, 20
n, 2.308, 0, 255, 255, 25, 25
n, 5.691, 11, 154, 143, 31, 28
n, 4.991, 0, 0, 0, 31, 31
s, 2.761, 0, 0, 0, 30, 30
n, 6.492, 0, 123, 123, 32, 32
