b, 14.85, 0, 184, 184, 22, 22
n, 8.923, 10, 153, 143, 30, 30
s, 24.3, 0, 225, 225, 34, 34
b, 22.806, 0, 71, 71, 31, 31
n, 15.352, 10, 71, 61, 41, 25
n, 10.906, 30, 92, 122, 32, 26
s, 12.668, 0, 92, 92, 32, 32
s, 15.776, 10, 235, 225, 29, 21
s, 26.954, 0, 81, 81, 34, 34
n, 11.522, 10, 51, 61, 20, 36
s, 8.039, 0, 235, 235, 35, 35
b, 12.187, 0, 184, 184, 32, 32
n, 12.128, 0, 40, 40, 34, 34
b, 8.774, 0, 30, 30, 20, 20
b, 27.676, 0, 102, 102, 44, 44
s, 5.099, 0, 0, 0, 44, 44
s, 15.725, 0, 225, 225, 25, 25
n, 10.792, 10, 30, 40, 23, 44
n, 13.793, 10, 71, 61, 36, 41
b, 9.933, 41, 61, 102, 43, 39
b, 19.999, 0, 163, 163, 21, 21
s, 14.41, 0, 102, 102, 41, 41
b, 10.961, 0, 225, 225, 31, 31
b, 20.043, 0, 112, 112, 23, 23
s, 5.519, 0, 81, 81, 27, 27
n, 10.383, 0, 163, 163, 41, 41
s, 7.266, 10, 10, 20, 39, 34
n, 13.207, 10, 81, 71, 42, 27
n, 6.779, 0, 245, 245, 22, 22
b, 18.222, 0, 163, 163, 38, 38
