s, 4.478, 0, 245, 245, 28, 28
n, 6.241, 0, 194, 194, 33, 33
s, 1.828, 0, 255, 255, 24, 24
b, 9.859, 0, 235, 235, 21, 21
b, 9.529, 0, 10, 10, 33, 33
s, 9.226, 0, 194, 194, 23, 23
b, 10.908, 0, 133, 133, 39, 39
s, 6.627, 0, 92, 92, 31, 31
n, 22.293, 10, 10, 0, 39, 33
b, 21.893, 0, 133, 133, 23, 23
b, 17.642, 0, 143, 143, 40, 40
b, 18.592, 0, 102, 102, 34, 34
n, 6.893, 10, 71, 61, 22, 33
s, 14.81, 0, 71, 71, 23, 23
n, 12.308, 0, 194, 194, 36, 36
s, 7.093, 0, 40, 40, 37, 37
s, 5.644, 0, 51, 51, 40, 40
b, 6.825, 0, 204, 204, 21, 21
b, 16.109, 0, 143, 143, 30, 30
s, 6.093, 0, 255, 255, 20, 20
n, 11.006, 10, 143, 153, 30, 27
s, 18.176, 0, 204, 204, 43, 43
s, 32.611, 0, 71, 71, 20, 20
n, 23.425, 0, 61, 61, 20, 20
b, 8.308, 0, 92, 92, 34, 34
n, 6.359, 0, 184, 184, 26, 26
b, 25.876, 0, 30, 30, 42, 42
n, 7.607, 10, 184, 174, 32, 31
n, 8.94, 11, 215, 204, 36, 27
n, 12.824, 11, 81, 92, 31, 33
