s, 4.754, 0, 10, 10, 42, 42
s, 3.776, 10, 133, 143, 38, 35
n, 3.209, 0, 92, 92, 24, 24
b, 6.634, 10, 82, 72, 30, 25
s, 10.425, 0, 174, 174, 26, 26
n, 11.226, 11, 195, 184, 38, 32
s, 7.227, 0, 51, 51, 39, 39
s, 6.039, 0, 143, 143, 31, 31
n, 3.407, 0, 102, 102, 40, 40
b, 5.34, 10, 51, 41, 25, 43
b, 12.007, 0, 164, 164, 41, 41
b, 7.86, 0, 215, 215, 41, 41
n, 4.674, 0, 246, 246, 27, 27
b, 4.376, 10, 195, 205, 42, 26
s, 5.725, 0, 20, 20, 24, 24
n, 5.894, 0, 31, 31, 36, 36
s, 7.258, 0, 41, 41, 20, 20
s, 6.626, 21, 133, 154, 23, 27
b, 7.843, 0, 174, 174, 21, 21
n, 3.541, 0, 205, 205, 36, 36
s, 9.26, 0, 102, 102, 36, 36
b, 6.758, 0, 195, 195, 34, 34
b, 5.559, 0, 123, 123, 42, 42
n, 4.025, 0, 10, 10, 26, 26
n, 5.325, 10, 205, 195, 30, 39
b, 4.893, 11, 102, 113, 41, 37
s, 17.477, 0, 113, 113, 28, 28
n, 5.158, 0, 205, 205, 32, 32
b, 4.511, 0, 72, 72, 39, 39
n, 3.174, 0, 255, 255, 30, 30
